"Algorithm","Held_Out_CellID","Held_Out_X","Held_Out_Y","Fold_ID","N","Mean_Probability","Median_Probability","SD_Probability","SE_Probability","Minimum_Probability","Q25_Probability","Q75_Probability","Maximum_Probability","CI95_Lower","CI95_Upper","Mean_Final_Model_OOB_Error","SD_Final_Model_OOB_Error"
"RF",4678,531938.5791,4418539.11,"Fold_01",30,0.126738115971842,0.110076759669138,0.0626808653142808,0.0114439079521916,0.0587907298237878,0.092192844920499,0.13716477213844,0.378642857142857,0.103332696206182,0.150143535737503,0.0346316408683121,0.00174198392932019
"RF",5000,531988.5791,4418439.11,"Fold_04",30,0.0898147528783218,0.094743020858661,0.046184160467361,0.00843203549580398,0.008,0.0729526081336075,0.118617769558201,0.179294898718025,0.0725693039387884,0.107060201817855,0.0335923816437129,0.00427120520231603
"RF",5882,532038.5791,4418164.11,"Fold_02",30,0.114635609862453,0.101778217096404,0.0805643506574903,0.0147089707286212,0.0202727272727273,0.0816139872050798,0.131556958050979,0.501,0.0845523869230143,0.144718832801891,0.0353876281904962,0.00171489954061469
"RF",5972,532288.5791,4418139.11,"Fold_03",30,0.116252884067322,0.106882298820618,0.0312580285814359,0.00570690911906455,0.0798329832434161,0.100429612371073,0.125746425897772,0.239833333333333,0.104580944372054,0.12792482376259,0.0354363337375662,0.00260562247677982
"RF",6362,532038.5791,4418014.11,"Fold_05",30,0.125074138233017,0.118880223719403,0.0403927325279652,0.0073746702549464,0.0841987946188287,0.101280630337818,0.133141516533742,0.3,0.109991244026646,0.140157032439388,0.0356193371505274,0.00245500250443159
