"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Held_Out_CellID","Held_Out_Probability","Threshold_P90","Captured_P90","Threshold_P95","Captured_P95","Threshold_P99","Captured_P99","Threshold_Mean_Plus_2SD","Captured_Mean_Plus_2SD"
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",1,4678,0.24907098710537,0.227871716022492,TRUE,0.446517933905123,FALSE,0.760046666860581,FALSE,0.373791782177877,FALSE
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",2,5882,0.0723803266882896,0.172533616423607,FALSE,0.430952429771423,FALSE,0.744280938506126,FALSE,0.355482360507914,FALSE
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",3,5972,0.0592872016131878,0.0934588015079498,FALSE,0.421314036846161,FALSE,0.892724452614784,FALSE,0.388356586140435,FALSE
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",4,5000,0.515608489513397,0.498011291027069,TRUE,0.754646360874176,FALSE,0.861107707023621,FALSE,0.572046837070269,FALSE
"XGBoost","Repeat_01_Fold_05",1,"Fold_05",5,6362,0.145670875906944,0.15478500276804,FALSE,0.542359888553619,FALSE,0.956368446350098,FALSE,0.454314470521985,FALSE
"XGBoost","Repeat_02_Fold_01",2,"Fold_01",1,4678,0.0393698327243328,0.527696096897125,FALSE,0.780437251925468,FALSE,0.902566492557526,FALSE,0.567373312963828,FALSE
"XGBoost","Repeat_02_Fold_02",2,"Fold_02",2,5882,0.497897803783417,0.628854870796204,FALSE,0.855307039618491,FALSE,0.924576103687286,FALSE,0.650414571184732,FALSE
"XGBoost","Repeat_02_Fold_03",2,"Fold_03",3,5972,0.406666308641434,0.492265620827675,FALSE,0.707056510448456,FALSE,0.946827122569084,FALSE,0.5637966126674,FALSE
"XGBoost","Repeat_02_Fold_04",2,"Fold_04",4,5000,0.251470983028412,0.413275566697121,FALSE,0.727452498674387,FALSE,0.956477338671684,FALSE,0.547056124762183,FALSE
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",5,6362,0.0235355533659458,0.327507558465005,FALSE,0.666961300373077,FALSE,0.921285588145257,FALSE,0.502306246417635,FALSE
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",1,4678,0.0252035316079855,0.0506107170134783,FALSE,0.325783164799204,FALSE,0.894546051621438,FALSE,0.370291996386752,FALSE
"XGBoost","Repeat_03_Fold_02",3,"Fold_02",2,5882,0.159264460206032,0.0908048897981644,TRUE,0.381895691156387,FALSE,0.883658945560455,FALSE,0.37930388511222,FALSE
"XGBoost","Repeat_03_Fold_03",3,"Fold_03",3,5972,0.0807652920484543,0.0638632476329803,TRUE,0.195605099946259,FALSE,0.759875385165216,FALSE,0.280585478368371,FALSE
"XGBoost","Repeat_03_Fold_04",3,"Fold_04",4,5000,0.150401338934898,0.0905477322638035,TRUE,0.214252337813377,FALSE,0.913978760838509,FALSE,0.346800124374086,FALSE
"XGBoost","Repeat_03_Fold_05",3,"Fold_05",5,6362,0.165828332304955,0.188187280297279,FALSE,0.54003840386867,FALSE,0.931324756741524,FALSE,0.448658066580128,FALSE
"XGBoost","Repeat_04_Fold_01",4,"Fold_01",1,4678,0.0245466772466898,0.241719543933868,FALSE,0.730912923812866,FALSE,0.9533855676651,FALSE,0.505512200686615,FALSE
"XGBoost","Repeat_04_Fold_02",4,"Fold_02",2,5882,0.618503212928772,0.318562197685243,TRUE,0.631964862346649,FALSE,0.917833001613617,FALSE,0.475891137445032,TRUE
"XGBoost","Repeat_04_Fold_03",4,"Fold_03",3,5972,0.170962557196617,0.175846530497074,FALSE,0.490041674673557,FALSE,0.945572608113289,FALSE,0.433811677314984,FALSE
"XGBoost","Repeat_04_Fold_04",4,"Fold_04",4,5000,0.467624068260193,0.169299021363259,TRUE,0.674671211838721,FALSE,0.946267213821411,FALSE,0.482842701000632,FALSE
"XGBoost","Repeat_04_Fold_05",4,"Fold_05",5,6362,0.217467203736305,0.226305395364761,FALSE,0.596950331330299,FALSE,0.85293487906456,FALSE,0.445995995577796,FALSE
"XGBoost","Repeat_05_Fold_01",5,"Fold_01",1,4678,0.0139425797387958,0.187963759899142,FALSE,0.368802934885025,FALSE,0.895979106426239,FALSE,0.382746618696117,FALSE
"XGBoost","Repeat_05_Fold_02",5,"Fold_02",2,5882,0.152055576443672,0.157647925615311,FALSE,0.735193431377411,FALSE,0.924404680728912,FALSE,0.493298561832536,FALSE
"XGBoost","Repeat_05_Fold_03",5,"Fold_03",3,5972,0.150098070502281,0.119760301709175,TRUE,0.492142368853091,FALSE,0.919467508792877,FALSE,0.408919409092864,FALSE
"XGBoost","Repeat_05_Fold_04",5,"Fold_04",4,5000,0.0367640778422356,0.0682112872600555,FALSE,0.183992356061935,FALSE,0.955216901302338,FALSE,0.321752669686636,FALSE
"XGBoost","Repeat_05_Fold_05",5,"Fold_05",5,6362,0.0250869709998369,0.0799542963504791,FALSE,0.492043085396282,FALSE,0.962980937361717,FALSE,0.451175500898527,FALSE
"XGBoost","Repeat_06_Fold_01",6,"Fold_01",1,4678,0.00614123744890094,0.0755496472120285,FALSE,0.287831465899942,FALSE,0.738683210015297,FALSE,0.296608186021833,FALSE
"XGBoost","Repeat_06_Fold_02",6,"Fold_02",2,5882,0.152448758482933,0.24729411303997,FALSE,0.477827727794647,FALSE,0.778456729054451,FALSE,0.392231183665172,FALSE
"XGBoost","Repeat_06_Fold_03",6,"Fold_03",3,5972,0.292690277099609,0.475063472986221,FALSE,0.693913850188254,FALSE,0.853852152824402,FALSE,0.526507073863945,FALSE
"XGBoost","Repeat_06_Fold_04",6,"Fold_04",4,5000,0.0985772982239723,0.162094201147557,FALSE,0.647311055660248,FALSE,0.916146860718727,FALSE,0.45287185292837,FALSE
"XGBoost","Repeat_06_Fold_05",6,"Fold_05",5,6362,0.00622121011838317,0.108113549649715,FALSE,0.406329713761806,FALSE,0.872178554534912,FALSE,0.377166821773013,FALSE
"XGBoost","Repeat_07_Fold_01",7,"Fold_01",1,4678,0.0205960758030415,0.0731105953454971,FALSE,0.557249194383617,FALSE,0.953639626502991,FALSE,0.44686877756719,FALSE
"XGBoost","Repeat_07_Fold_02",7,"Fold_02",2,5882,0.372093349695206,0.0647918805480004,TRUE,0.416794747114182,FALSE,0.891599143743515,FALSE,0.360202827108253,TRUE
"XGBoost","Repeat_07_Fold_03",7,"Fold_03",3,5972,0.0185021292418242,0.0533010400831699,FALSE,0.22713006362319,FALSE,0.959635198116302,FALSE,0.385798807090963,FALSE
"XGBoost","Repeat_07_Fold_04",7,"Fold_04",4,5000,0.148993119597435,0.0576769225299358,TRUE,0.625491380691528,FALSE,0.994605958461761,FALSE,0.46736275973127,FALSE
"XGBoost","Repeat_07_Fold_05",7,"Fold_05",5,6362,0.0181457567960024,0.115908414125443,FALSE,0.437856046855447,FALSE,0.955492734909058,FALSE,0.423048236558602,FALSE
"XGBoost","Repeat_08_Fold_01",8,"Fold_01",1,4678,0.0167114716023207,0.186258286237717,FALSE,0.794022932648658,FALSE,0.97723925113678,FALSE,0.534445614130942,FALSE
"XGBoost","Repeat_08_Fold_02",8,"Fold_02",2,5882,0.694318473339081,0.430268287658691,TRUE,0.793058514595032,FALSE,0.957631730437279,FALSE,0.590294044151855,TRUE
"XGBoost","Repeat_08_Fold_03",8,"Fold_03",3,5972,0.291075617074966,0.267973214387894,TRUE,0.724097904562948,FALSE,0.985595941543579,FALSE,0.531394390595967,FALSE
"XGBoost","Repeat_08_Fold_04",8,"Fold_04",4,5000,0.417971760034561,0.323616778850556,TRUE,0.860951900482178,FALSE,0.979547202587128,FALSE,0.557789278925536,FALSE
"XGBoost","Repeat_08_Fold_05",8,"Fold_05",5,6362,0.0729639008641243,0.16305547952652,FALSE,0.534244358539581,FALSE,0.915620975494385,FALSE,0.43002520935542,FALSE
"XGBoost","Repeat_09_Fold_01",9,"Fold_01",1,4678,0.0185631774365902,0.133241118490696,FALSE,0.638411384820936,FALSE,0.942307591438293,FALSE,0.471036931150284,FALSE
"XGBoost","Repeat_09_Fold_02",9,"Fold_02",2,5882,0.736341059207916,0.267630904912949,TRUE,0.736502110958099,FALSE,0.967783438563347,FALSE,0.518214893457847,TRUE
"XGBoost","Repeat_09_Fold_03",9,"Fold_03",3,5972,0.137820586562157,0.105204656720161,TRUE,0.642059114575385,FALSE,0.978874623775482,FALSE,0.488302274638501,FALSE
"XGBoost","Repeat_09_Fold_04",9,"Fold_04",4,5000,0.20980130136013,0.0675948314368727,TRUE,0.311333823204039,FALSE,0.980154573917389,FALSE,0.425660165243424,FALSE
"XGBoost","Repeat_09_Fold_05",9,"Fold_05",5,6362,0.00868243910372257,0.104435458779335,FALSE,0.875938120484349,FALSE,0.992138087749481,FALSE,0.538988346788785,FALSE
"XGBoost","Repeat_10_Fold_01",10,"Fold_01",1,4678,0.0241219401359558,0.145560216903687,FALSE,0.31219419836998,FALSE,0.670527372360229,FALSE,0.30223573617577,FALSE
"XGBoost","Repeat_10_Fold_02",10,"Fold_02",2,5882,0.0671988278627396,0.073753055930138,FALSE,0.270784960687158,FALSE,0.716214068531991,FALSE,0.297153496571257,FALSE
"XGBoost","Repeat_10_Fold_03",10,"Fold_03",3,5972,0.0477860122919083,0.0663682669401169,FALSE,0.168443381786346,FALSE,0.849991849660874,FALSE,0.308950392017271,FALSE
