"Algorithm","Threshold_Method","Run_n","Captured_Run_n","Capture_Rate","Mean_Threshold","SD_Threshold","Minimum_Threshold","Maximum_Threshold"
"XGBoost","P90",150,61,0.406666666666667,0.184937187078099,0.117102415584125,0.0346806533634663,0.628854870796204
"XGBoost","P95",150,5,0.0333333333333333,0.488689906780918,0.176042746900298,0.131644114851952,0.911915290355682
"XGBoost","P99",150,0,0,0.890318547825019,0.0745952776070341,0.612235974073411,0.995257556438446
"XGBoost","Mean_Plus_2SD",150,11,0.0733333333333333,0.423585652211574,0.0760855105677985,0.257845678390119,0.650414571184732
