"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Grid_Mean","Grid_SD","Threshold_P90","Threshold_P95","Threshold_P99","Threshold_Mean_Plus_2SD"
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",1,0.0632698880563354,0.155260947060771,0.227871716022492,0.446517933905123,0.760046666860581,0.373791782177877
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",2,0.0646567434425621,0.145412808532676,0.172533616423607,0.430952429771423,0.744280938506126,0.355482360507914
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",3,0.0568385939399983,0.165758996100218,0.0934588015079498,0.421314036846161,0.892724452614784,0.388356586140435
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",4,0.127414880282595,0.222315978393837,0.498011291027069,0.754646360874176,0.861107707023621,0.572046837070269
"XGBoost","Repeat_01_Fold_05",1,"Fold_05",5,0.0718571552891808,0.191228657616402,0.15478500276804,0.542359888553619,0.956368446350098,0.454314470521985
"XGBoost","Repeat_02_Fold_01",2,"Fold_01",1,0.116927215782343,0.225223048590742,0.527696096897125,0.780437251925468,0.902566492557526,0.567373312963828
"XGBoost","Repeat_02_Fold_02",2,"Fold_02",2,0.126059020527076,0.262177775328828,0.628854870796204,0.855307039618491,0.924576103687286,0.650414571184732
"XGBoost","Repeat_02_Fold_03",2,"Fold_03",3,0.101261160670741,0.23126772599833,0.492265620827675,0.707056510448456,0.946827122569084,0.5637966126674
"XGBoost","Repeat_02_Fold_04",2,"Fold_04",4,0.10351019248524,0.221772966138472,0.413275566697121,0.727452498674387,0.956477338671684,0.547056124762183
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",5,0.0838578654323889,0.209224190492623,0.327507558465005,0.666961300373077,0.921285588145257,0.502306246417635
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",1,0.0489907798513741,0.160650608267689,0.0506107170134783,0.325783164799204,0.894546051621438,0.370291996386752
"XGBoost","Repeat_03_Fold_02",3,"Fold_02",2,0.0579394275065473,0.160682228802836,0.0908048897981644,0.381895691156387,0.883658945560455,0.37930388511222
"XGBoost","Repeat_03_Fold_03",3,"Fold_03",3,0.0384657797608088,0.121059849303781,0.0638632476329803,0.195605099946259,0.759875385165216,0.280585478368371
"XGBoost","Repeat_03_Fold_04",3,"Fold_04",4,0.0477158495767556,0.149542137398665,0.0905477322638035,0.214252337813377,0.913978760838509,0.346800124374086
"XGBoost","Repeat_03_Fold_05",3,"Fold_05",5,0.0758549230453597,0.186401571767384,0.188187280297279,0.54003840386867,0.931324756741524,0.448658066580128
"XGBoost","Repeat_04_Fold_01",4,"Fold_01",1,0.0831104701316265,0.211200865277494,0.241719543933868,0.730912923812866,0.9533855676651,0.505512200686615
"XGBoost","Repeat_04_Fold_02",4,"Fold_02",2,0.0890169049926044,0.193437116226214,0.318562197685243,0.631964862346649,0.917833001613617,0.475891137445032
"XGBoost","Repeat_04_Fold_03",4,"Fold_03",3,0.0794479973599421,0.177181839977521,0.175846530497074,0.490041674673557,0.945572608113289,0.433811677314984
"XGBoost","Repeat_04_Fold_04",4,"Fold_04",4,0.07146085094726,0.205690925026686,0.169299021363259,0.674671211838721,0.946267213821411,0.482842701000632
"XGBoost","Repeat_04_Fold_05",4,"Fold_05",5,0.0812762427289272,0.182359876424434,0.226305395364761,0.596950331330299,0.85293487906456,0.445995995577796
"XGBoost","Repeat_05_Fold_01",5,"Fold_01",1,0.06259827552892,0.160074171583599,0.187963759899142,0.368802934885025,0.895979106426239,0.382746618696117
"XGBoost","Repeat_05_Fold_02",5,"Fold_02",2,0.0748630865693121,0.209217737631612,0.157647925615311,0.735193431377411,0.924404680728912,0.493298561832536
"XGBoost","Repeat_05_Fold_03",5,"Fold_03",3,0.0588755355175575,0.175021936787653,0.119760301709175,0.492142368853091,0.919467508792877,0.408919409092864
"XGBoost","Repeat_05_Fold_04",5,"Fold_04",4,0.0423838813112525,0.139684394187692,0.0682112872600555,0.183992356061935,0.955216901302338,0.321752669686636
"XGBoost","Repeat_05_Fold_05",5,"Fold_05",5,0.059863008870343,0.195656246014092,0.0799542963504791,0.492043085396282,0.962980937361717,0.451175500898527
