"CellID","X","Y","XGB_Mean_Probability","XGB_SD_Probability","XGB_Min_Probability","XGB_Max_Probability","XGB_Prediction_n"
1,531013.5791,4419989.11,0.0211742654675618,0.0176483962937713,0.00157561106607318,0.120952926576138,150
2,531038.5791,4419989.11,0.0131121531664394,0.00972849390616856,0.00154352653771639,0.0636089742183685,150
3,531063.5791,4419989.11,0.0127558499279742,0.00951873455548729,0.00154352653771639,0.0619157180190086,150
4,531088.5791,4419989.11,0.0128110284971384,0.00988446836877385,0.00152707716915756,0.0712269321084023,150
5,531113.5791,4419989.11,0.0125938944130515,0.00959958595083017,0.00141982082277536,0.0712269321084023,150
6,531138.5791,4419989.11,0.0125389975604291,0.00950896384648617,0.00141982082277536,0.0693653747439384,150
7,531163.5791,4419989.11,0.0125350100376333,0.00951252525555511,0.00141982082277536,0.0693653747439384,150
8,531188.5791,4419989.11,0.0125169108233725,0.00950722960497816,0.00141982082277536,0.0693653747439384,150
9,531213.5791,4419989.11,0.0125169108233725,0.00950722960497816,0.00141982082277536,0.0693653747439384,150
10,531238.5791,4419989.11,0.0125188690874105,0.00950619141598226,0.00141982082277536,0.0693653747439384,150
11,531263.5791,4419989.11,0.0124965478774781,0.00946104277550352,0.00141982082277536,0.0693653747439384,150
12,531288.5791,4419989.11,0.0124976757898306,0.00945918527145985,0.00141982082277536,0.0693653747439384,150
13,531313.5791,4419989.11,0.0124537200651442,0.00930411210521175,0.00141982082277536,0.0654482170939445,150
14,531338.5791,4419989.11,0.0124736845524361,0.00931802396699048,0.00141982082277536,0.0654482170939445,150
15,531363.5791,4419989.11,0.0124931236108144,0.00931318857030857,0.00141982082277536,0.0654482170939445,150
16,531388.5791,4419989.11,0.0144480468945888,0.0099717127230687,0.00194506428670138,0.065870501101017,150
17,531413.5791,4419989.11,0.0144766674245087,0.00995775424253117,0.00194506428670138,0.065870501101017,150
18,531438.5791,4419989.11,0.0129312928246024,0.00959852080671564,0.00161961268167943,0.0685655027627945,150
19,531463.5791,4419989.11,0.0145396197144873,0.0100065423145295,0.00194506428670138,0.065870501101017,150
20,531488.5791,4419989.11,0.0145201848936267,0.0100171379183212,0.00194506428670138,0.065870501101017,150
21,531513.5791,4419989.11,0.0145085256228534,0.010017746488827,0.00194506428670138,0.065870501101017,150
22,531538.5791,4419989.11,0.0144864915458796,0.0100237989510117,0.00194506428670138,0.065870501101017,150
23,531563.5791,4419989.11,0.0144597376937357,0.0100130655684895,0.00194506428670138,0.065870501101017,150
24,531588.5791,4419989.11,0.0131550031527877,0.00980139912984379,0.00168358767405152,0.071483738720417,150
25,531613.5791,4419989.11,0.0131984339995931,0.00989023740988259,0.00168358767405152,0.0733976662158966,150
26,531638.5791,4419989.11,0.0140054575889371,0.0104174893487515,0.00170040258672088,0.0753796920180321,150
27,531663.5791,4419989.11,0.0186255095464488,0.0169814907823916,0.00167950766626745,0.141729027032852,150
28,531688.5791,4419989.11,0.0153577166244698,0.0126043824019297,0.00167950766626745,0.101647056639194,150
29,531713.5791,4419989.11,0.0144068749862102,0.0095821607077502,0.00167950766626745,0.0439792647957802,150
30,531738.5791,4419989.11,0.014443706322927,0.00955529904299602,0.00167950766626745,0.0439792647957802,150
31,531763.5791,4419989.11,0.0141002387017943,0.00926215534301464,0.00157308822963387,0.0439792647957802,150
32,531788.5791,4419989.11,0.0168996402726043,0.0147038227645086,0.000869463488925248,0.104857012629509,150
33,531813.5791,4419989.11,0.0168769898323808,0.0147280097982433,0.000869463488925248,0.104857012629509,150
34,531838.5791,4419989.11,0.0126531536617161,0.0103696826864856,0.000869463488925248,0.0520434714853764,150
35,531863.5791,4419989.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
36,531888.5791,4419989.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
37,531913.5791,4419989.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
38,531938.5791,4419989.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
39,531963.5791,4419989.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
40,531988.5791,4419989.11,0.0106924379989505,0.00751360010912032,0.000967143103480339,0.0374582149088383,150
41,532013.5791,4419989.11,0.0106924379989505,0.00751360010912032,0.000967143103480339,0.0374582149088383,150
42,532038.5791,4419989.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
43,532063.5791,4419989.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
44,532088.5791,4419989.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
45,532113.5791,4419989.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
46,532138.5791,4419989.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
47,532163.5791,4419989.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
48,532188.5791,4419989.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
49,532213.5791,4419989.11,0.00941303721823109,0.00681196661296288,0.000782602292019874,0.0374582149088383,150
50,532238.5791,4419989.11,0.00941303721823109,0.00681196661296288,0.000782602292019874,0.0374582149088383,150
51,532263.5791,4419989.11,0.00941303721823109,0.00681196661296288,0.000782602292019874,0.0374582149088383,150
52,532288.5791,4419989.11,0.0127232591854408,0.0105242553215531,0.000979242497123778,0.0691753402352333,150
53,532313.5791,4419989.11,0.0127191454699884,0.010525131228646,0.000979242497123778,0.0691753402352333,150
54,532338.5791,4419989.11,0.00917033584516806,0.00652354904443374,0.000782602292019874,0.0328897349536419,150
55,532363.5791,4419989.11,0.00917033584516806,0.00652354904443374,0.000782602292019874,0.0328897349536419,150
56,532388.5791,4419989.11,0.00917033584516806,0.00652354904443374,0.000782602292019874,0.0328897349536419,150
57,532413.5791,4419989.11,0.00917033584516806,0.00652354904443374,0.000782602292019874,0.0328897349536419,150
58,532438.5791,4419989.11,0.00916974066252199,0.00652425087393159,0.000782602292019874,0.0328897349536419,150
59,532463.5791,4419989.11,0.00916974066252199,0.00652425087393159,0.000782602292019874,0.0328897349536419,150
60,532488.5791,4419989.11,0.00910872173612006,0.00653078994110198,0.000782602292019874,0.0328897349536419,150
61,532513.5791,4419989.11,0.00910872173612006,0.00653078994110198,0.000782602292019874,0.0328897349536419,150
62,532538.5791,4419989.11,0.00910872173612006,0.00653078994110198,0.000782602292019874,0.0328897349536419,150
63,532563.5791,4419989.11,0.00910872173612006,0.00653078994110198,0.000782602292019874,0.0328897349536419,150
64,532588.5791,4419989.11,0.00910872173612006,0.00653078994110198,0.000782602292019874,0.0328897349536419,150
