"Algorithm","Threshold_Method","Run_n","Captured_Run_n","Capture_Rate","Mean_Threshold","SD_Threshold","Minimum_Threshold","Maximum_Threshold"
"RF","P90",150,127,0.846666666666667,0.0839105033403258,0.0220914200353514,0.004,0.153595594220137
"RF","P95",150,19,0.126666666666667,0.150811521776737,0.053187372813093,0.0380499999999993,0.409333333333333
"RF","P99",150,0,0,0.319678559726777,0.14730519091374,0.170393857530238,0.845666666666667
"RF","Mean_Plus_2SD",150,27,0.18,0.155576969585021,0.0551309934505419,0.101312703573678,0.358995226271125
