"Fold_ID","Run_n","Mean_Probability","Median_Probability","SD_Probability","SE_Probability","Minimum_Probability","Q25_Probability","Q75_Probability","Maximum_Probability","CI95_Lower","CI95_Upper"
"Fold_01",30,0.0609358964277014,0.0572651094538235,0.0233358209136009,0.00426051850409334,0.0254408952063359,0.0432350457984192,0.0736314020270165,0.133627651295181,0.0522221576922749,0.069649635163128
"Fold_02",30,0.0605591685363118,0.0521910118635265,0.0418638408840252,0.00764325666532921,0.0115740080316403,0.0348392188210569,0.0647687694782503,0.183811723922368,0.0449269534419522,0.0761913836306715
"Fold_03",30,0.0728622018397879,0.0692271079622519,0.0318856345773322,0.00582149377279051,0.0157482345007015,0.0471782763076991,0.0986870279528143,0.129640399490078,0.0609559102141858,0.08476849346539
"Fold_04",30,0.0215260003694601,0.0206110374193278,0.0170199091498905,0.00310739605602787,0.000941712081443456,0.00468064690238652,0.0370423813555483,0.0538991124515991,0.0151706618458257,0.0278813388930946
"Fold_05",30,0.0977323299383837,0.0759745760534657,0.0962307228075598,0.0175692458689091,0.04057160641233,0.0635365366548863,0.10513284642239,0.588514024744749,0.0617991874973732,0.133665472379394
