"Predictor","Run_n","Mean_Gain","SD_Gain","Median_Gain","Minimum_Gain","Maximum_Gain"
"Dist_Silicified",150,0.532986775498531,0.101847157670607,0.533016745232689,0.233854157888359,0.822940939175198
"Dist_Brecciated",150,0.152181315347484,0.0774520205003139,0.133966909901755,0.00875304286491436,0.464525936016188
"Pb_OK",150,0.134681331856507,0.0863437382997379,0.116329651157943,0.00812173741500237,0.375650284795568
"Dist_Fault",150,0.0748802338957098,0.049767363616442,0.0651001622202662,0.00336788045410539,0.225751779684413
"Zn_OK",150,0.055592532935151,0.0396518270192607,0.0461526046168367,0.000643245948326335,0.198176946717874
"Cu_OK",149,0.0499286669277353,0.0321546887576596,0.0416443884644801,0.000822153093021193,0.159611383437767
"Lithology",3,0.00410006592003443,0.00393582998210776,0.0025345696346335,0.00118786160250549,0.0085777665229643
