"Feature","Run_n","Mean_Gain","SD_Gain","Mean_Cover","Mean_Frequency"
"Dist_Silicified",150,0.532986775498531,0.101847157670607,0.347901414124135,0.244376528790588
"Dist_Brecciated",150,0.152181315347484,0.0774520205003139,0.15569104327845,0.148221339608646
"Pb_OK",150,0.134681331856507,0.0863437382997379,0.146300365474587,0.210716937001723
"Dist_Fault",150,0.0748802338957098,0.049767363616442,0.16459473819852,0.172522632057388
"Zn_OK",150,0.055592532935151,0.0396518270192607,0.0919935712981362,0.11889786667246
"Cu_OK",149,0.0499286669277353,0.0321546887576596,0.0940628061643402,0.105932772429045
"Lithology3",3,0.00410006592003443,0.00393582998210776,0.00415734181303446,0.00190709615048123
