"Repeat","Run_n","Mean_Probability","SD_Probability","Median_Probability","Minimum_Probability","Maximum_Probability","CI95_Lower","CI95_Upper"
"1",5,0.208403576165438,0.187551397180437,0.145670875906944,0.0592872016131878,0.515608489513397,-0.0244722415263257,0.441279393857201
"2",5,0.243788096308708,0.212989489995128,0.251470983028412,0.0235355533659458,0.497897803783417,-0.0206732854140229,0.50824947803144
"3",5,0.116292591020465,0.0612845486380796,0.150401338934898,0.0252035316079855,0.165828332304955,0.0401977733303939,0.192387408710536
"4",5,0.299820743873715,0.239206407398733,0.217467203736305,0.0245466772466898,0.618503212928772,0.00280675966704597,0.596834728080385
"5",5,0.0755894551053643,0.0693845255511,0.0367640778422356,0.0139425797387958,0.152055576443672,-0.0105628123038858,0.161741722514614
"6",5,0.11121575627476,0.119223951065504,0.0985772982239723,0.00614123744890094,0.292690277099609,-0.0368203314868838,0.259251844036403
"7",5,0.115666086226702,0.153992685438648,0.0205960758030415,0.0181457567960024,0.372093349695206,-0.0755410872691847,0.306873259722588
"8",5,0.298608244583011,0.27444131199109,0.291075617074966,0.0167114716023207,0.694318473339081,-0.0421556521361325,0.639372141302154
"9",5,0.222241712734103,0.299446296319795,0.137820586562157,0.00868243910372257,0.736341059207916,-0.149569972801643,0.594053398269849
"10",5,0.116198785603046,0.136494962642354,0.0671988278627396,0.0241219401359558,0.356997072696686,-0.0532820954461317,0.285679666652225
"11",5,0.189843639731407,0.203353695592531,0.0935743749141693,0.051669679582119,0.537235260009766,-0.0626533229875256,0.44234060245034
"12",5,0.062944653071463,0.0694045792189163,0.0303650461137295,0.00618804432451725,0.171644255518913,-0.0232325142551464,0.149121820398072
"13",5,0.180501841008663,0.0676803672829149,0.168943092226982,0.114489339292049,0.289761602878571,0.0964655655682599,0.264538116449066
"14",5,0.10970866382122,0.0655867345567019,0.0923977643251419,0.037931777536869,0.210751846432686,0.028271976762417,0.191145350880024
"15",5,0.126754357665777,0.0998246692613161,0.139162555336952,0.0290965884923935,0.272068947553635,0.00280565971140308,0.250703055620151
"16",5,0.261864259839058,0.121316722025258,0.227682337164879,0.15000419318676,0.465941250324249,0.111229653720202,0.412498865957914
"17",5,0.179997418820858,0.164887377864504,0.0938530415296555,0.0210505202412605,0.419309467077255,-0.0247373020317172,0.384732139673433
"18",5,0.187359540537,0.204609312476722,0.129718065261841,0.0293554943054914,0.530446708202362,-0.06669647646257,0.441415557536569
"19",5,0.125005399435759,0.079484658888336,0.0848682671785355,0.0533369742333889,0.246717140078545,0.0263121600846051,0.223698638786912
"20",5,0.203079196065664,0.199948158763698,0.160774439573288,0.0148264579474926,0.530525982379913,-0.0451892341783506,0.451347626309679
"21",5,0.15343311727047,0.137278826209751,0.0788337662816048,0.0512899793684483,0.372721076011658,-0.01702105894985,0.323887293490789
"22",5,0.0889879783615468,0.0527438965354396,0.0891827121376991,0.0125427050516009,0.153259843587875,0.0234977809085072,0.154478175814586
"23",5,0.432541420310736,0.438632357347101,0.149578019976616,0.0451424978673458,0.927802562713623,-0.112092586254407,0.977175426875879
"24",5,0.166307362169027,0.130724702654863,0.129778936505318,0.0121552012860775,0.366935312747955,0.00399120520659185,0.328623519131463
"25",5,0.12391240936704,0.0950353597310528,0.112790830433369,0.00211572856642306,0.257105022668839,0.00591042463264804,0.241914394101432
"26",5,0.351812705397606,0.147929201075141,0.384306311607361,0.15789557993412,0.540552914142609,0.168134342139557,0.535491068655655
"27",5,0.0772853791713715,0.0374365066911891,0.0716752037405968,0.0418567024171352,0.131811618804932,0.0308018165944077,0.123768941748335
"28",5,0.205554580688476,0.14942625074698,0.190606132149696,0.0674543082714081,0.427339166402817,0.0200173847493833,0.39109177662757
"29",5,0.105243066512048,0.0601435774245527,0.106781430542469,0.0139280734583735,0.165546163916588,0.0305649517008006,0.179921181323296
"30",5,0.351156620681286,0.320128407879365,0.403728365898132,0.0429536104202271,0.818248867988586,-0.0463352981848119,0.748648539547383
