"CellID","X","Y","SVM_Mean_Probability","SVM_SD_Probability","SVM_Min_Probability","SVM_Max_Probability","SVM_Prediction_n"
1,531013.5791,4419989.11,0.024588285633313,0.0228030213166829,0.000430418676749707,0.119289880387298,150
2,531038.5791,4419989.11,0.0244731259243353,0.0224934252873633,0.000439766019866467,0.118432761389148,150
3,531063.5791,4419989.11,0.0243571110925723,0.022189702939195,0.000449663579858936,0.11759787487263,150
4,531088.5791,4419989.11,0.024335314635944,0.0223766701448772,0.00043849510714848,0.117608791788877,150
5,531113.5791,4419989.11,0.0242439576515022,0.0221062096090988,0.000446588315999068,0.116799171734121,150
6,531138.5791,4419989.11,0.0241527549495572,0.0218421902719192,0.000455132066577656,0.116015954772528,150
7,531163.5791,4419989.11,0.0240605367614092,0.0215844681787683,0.000464204049989083,0.115261139592076,150
8,531188.5791,4419989.11,0.0239665584387882,0.0213332871634977,0.000473870147667844,0.114536282680062,150
9,531213.5791,4419989.11,0.0238742730877923,0.0210912760802702,0.00048381326108694,0.113839048444504,150
10,531238.5791,4419989.11,0.0238096882790997,0.0208721813934956,0.00049138454377226,0.113146429723401,150
11,531263.5791,4419989.11,0.0237486544830881,0.0206628081178424,0.000499005490562009,0.112483092898282,150
12,531288.5791,4419989.11,0.0236854017444127,0.0204605470375456,0.000507146254626119,0.111854419688935,150
13,531313.5791,4419989.11,0.0236109204637946,0.0202321587338903,0.000523891952742677,0.111857868532021,150
14,531338.5791,4419989.11,0.0235636163409722,0.0200542886735105,0.000531179956522083,0.111274816736077,150
15,531363.5791,4419989.11,0.0235292826377474,0.0198911018921728,0.000537515355007042,0.11071704458668,150
16,531388.5791,4419989.11,0.0259746653061727,0.0222646979141894,0.00055662757014205,0.115738185577028,150
17,531413.5791,4419989.11,0.0249331055983116,0.0197852455916032,0.000541360497310028,0.0991572603101458,150
18,531438.5791,4419989.11,0.023981653739208,0.0187125686608201,0.00052319080917078,0.100065739572735,150
19,531463.5791,4419989.11,0.0250526795715396,0.0197234649789864,0.000571670392908726,0.0997280530868516,150
20,531488.5791,4419989.11,0.0250004125568324,0.0195901740491041,0.000578815654097973,0.0987741256545673,150
21,531513.5791,4419989.11,0.0249261794176617,0.0194571700839389,0.000586542890759275,0.0976335290852475,150
22,531538.5791,4419989.11,0.0248335541418144,0.0193272275006115,0.000594752450312869,0.0963456062639876,150
23,531563.5791,4419989.11,0.0247274261593275,0.0192036368607149,0.000603298505582014,0.0956559802768474,150
24,531588.5791,4419989.11,0.0238431893778635,0.018705637369411,0.000559487788683216,0.0985904697973233,150
25,531613.5791,4419989.11,0.0237229921849261,0.0186147009147576,0.000567820305237507,0.0984400358146628,150
26,531638.5791,4419989.11,0.0236028701834515,0.0185379496925473,0.000576084232286821,0.0983265574105076,150
27,531663.5791,4419989.11,0.0234856516910497,0.0184764415678458,0.000584164992462333,0.0982493703422433,150
28,531688.5791,4419989.11,0.0233734344468385,0.0184307878984741,0.000591964533732486,0.0982080055350126,150
29,531713.5791,4419989.11,0.0232677270811635,0.0184012613339479,0.000599399534328535,0.0982021101125098,150
