"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Held_Out_CellID","Held_Out_Probability","Threshold_P90","Captured_P90","Threshold_P95","Captured_P95","Threshold_P99","Captured_P99","Threshold_Mean_Plus_2SD","Captured_Mean_Plus_2SD"
"SVM","Repeat_06_Fold_04",6,"Fold_04",4,5000,0.0418897741613181,0.0425976971840993,FALSE,0.0428830539387564,FALSE,0.0431945416230962,FALSE,0.0427959480185476,FALSE
"SVM","Repeat_06_Fold_05",6,"Fold_05",5,6362,0.0666816753869888,0.0659171195041228,TRUE,0.0716243600029949,FALSE,0.079130939126714,FALSE,0.0738081868841085,FALSE
"SVM","Repeat_07_Fold_01",7,"Fold_01",1,4678,0.0478408977305037,0.0498630750170432,FALSE,0.051767925980154,FALSE,0.0542696700305206,FALSE,0.0533564535635397,FALSE
"SVM","Repeat_07_Fold_02",7,"Fold_02",2,5882,0.120927964772036,0.102929079041113,TRUE,0.121541880081819,FALSE,0.160545805932761,FALSE,0.116723723270218,TRUE
"SVM","Repeat_07_Fold_03",7,"Fold_03",3,5972,0.0672500527821521,0.065900434153099,TRUE,0.0773785080495403,FALSE,0.0989823563764346,FALSE,0.0779852788068398,FALSE
"SVM","Repeat_07_Fold_04",7,"Fold_04",4,5000,0.0466576310013376,0.0958936629217652,FALSE,0.141651725756806,FALSE,0.281411638060029,FALSE,0.146579512429464,FALSE
"SVM","Repeat_07_Fold_05",7,"Fold_05",5,6362,0.0677530507676636,0.0890797641470431,FALSE,0.128234800411426,FALSE,0.180830111758745,FALSE,0.119501238601155,FALSE
"SVM","Repeat_08_Fold_01",8,"Fold_01",1,4678,0.0401892832956613,0.0344855039444797,TRUE,0.0401894639849731,FALSE,0.494008721513009,FALSE,0.203298318205562,FALSE
"SVM","Repeat_08_Fold_02",8,"Fold_02",2,5882,0.0433258906585585,0.0698482097781069,FALSE,0.0788692271010682,FALSE,0.0931426672164775,FALSE,0.0790336308017462,FALSE
"SVM","Repeat_08_Fold_03",8,"Fold_03",3,5972,0.112872594232822,0.0952188426673876,TRUE,0.121403159894844,FALSE,0.178480980669758,FALSE,0.115693629316466,FALSE
"SVM","Repeat_08_Fold_04",8,"Fold_04",4,5000,0.00242818634769428,0.0683731453338765,FALSE,0.193412189824157,FALSE,0.520279573705646,FALSE,0.224687730065523,FALSE
"SVM","Repeat_08_Fold_05",8,"Fold_05",5,6362,0.113363380991979,0.119843116784804,FALSE,0.151289615705522,FALSE,0.209286551353476,FALSE,0.143722194465833,FALSE
"SVM","Repeat_09_Fold_01",9,"Fold_01",1,4678,0.0411356691221955,0.0392919597276701,TRUE,0.0845523689391209,FALSE,0.706711472795816,FALSE,0.251432409094105,FALSE
"SVM","Repeat_09_Fold_02",9,"Fold_02",2,5882,0.0364360570485982,0.0356049204722025,TRUE,0.0518031543553735,FALSE,0.821815641206973,FALSE,0.259759932413849,FALSE
"SVM","Repeat_09_Fold_03",9,"Fold_03",3,5972,0.0712041631423517,0.0861717039559156,FALSE,0.115260676487208,FALSE,0.337941432446844,FALSE,0.158166699271211,FALSE
"SVM","Repeat_09_Fold_04",9,"Fold_04",4,5000,0.0159847697803804,0.0931992767082399,FALSE,0.157961709673029,FALSE,0.297491377055011,FALSE,0.149373626791209,FALSE
"SVM","Repeat_09_Fold_05",9,"Fold_05",5,6362,0.110893961541279,0.111318040343096,FALSE,0.135920998623521,FALSE,0.200797466334709,FALSE,0.134202199534528,FALSE
"SVM","Repeat_10_Fold_01",10,"Fold_01",1,4678,0.0632153980705451,0.0633249818826061,FALSE,0.0702840975391059,FALSE,0.0783901422663521,FALSE,0.0709237492282772,FALSE
"SVM","Repeat_10_Fold_02",10,"Fold_02",2,5882,0.033551482506721,0.0710523789804083,FALSE,0.0772808332537015,FALSE,0.085768254063685,FALSE,0.0792877214692489,FALSE
"SVM","Repeat_10_Fold_03",10,"Fold_03",3,5972,0.0481392770177374,0.0474950750377384,TRUE,0.0490412913570119,FALSE,0.0511035573018114,FALSE,0.0500049792356236,FALSE
"SVM","Repeat_10_Fold_04",10,"Fold_04",4,5000,0.02185228179335,0.0337968237728004,FALSE,0.0613657751328933,FALSE,0.63975505219518,FALSE,0.238897743768672,FALSE
"SVM","Repeat_10_Fold_05",10,"Fold_05",5,6362,0.059621531523306,0.0613655473607014,FALSE,0.0713506123351006,FALSE,0.100152827626032,FALSE,0.0734765558926471,FALSE
"SVM","Repeat_11_Fold_01",11,"Fold_01",1,4678,0.0700621193290755,0.0698328033210031,TRUE,0.0783489785110464,FALSE,0.0906539569087,FALSE,0.0787725254010733,FALSE
"SVM","Repeat_11_Fold_02",11,"Fold_02",2,5882,0.0564699359925957,0.0668632737187321,FALSE,0.0758965535091174,FALSE,0.106733285540144,FALSE,0.0809712614540316,FALSE
"SVM","Repeat_11_Fold_03",11,"Fold_03",3,5972,0.0494736236213216,0.0499671974642263,FALSE,0.0519614328712976,FALSE,0.0589582674929319,FALSE,0.0541468123684389,FALSE
"SVM","Repeat_11_Fold_04",11,"Fold_04",4,5000,0.00321894305580688,0.0732863480539356,FALSE,0.0903171145295307,FALSE,0.190792482597246,FALSE,0.10951621349713,FALSE
"SVM","Repeat_11_Fold_05",11,"Fold_05",5,6362,0.084548498669365,0.0450657921166687,TRUE,0.0470621936878113,TRUE,0.0846636352443297,FALSE,0.060720156900711,TRUE
"SVM","Repeat_12_Fold_01",12,"Fold_01",1,4678,0.0741025848507229,0.0653874055980309,TRUE,0.0721880593788368,TRUE,0.0818049279258008,FALSE,0.0729108702124826,TRUE
"SVM","Repeat_12_Fold_02",12,"Fold_02",2,5882,0.0261002889713302,0.104349510958036,FALSE,0.13560293978246,FALSE,0.172931237952144,FALSE,0.121926371673845,FALSE
"SVM","Repeat_12_Fold_03",12,"Fold_03",3,5972,0.0436491840086025,0.0435060968995459,TRUE,0.0441529108321832,FALSE,0.0451497261567169,FALSE,0.0445370400077793,FALSE
"SVM","Repeat_12_Fold_04",12,"Fold_04",4,5000,0.0196879551512281,0.0780879090745242,FALSE,0.11818629829899,FALSE,0.19344717475871,FALSE,0.109062725578334,FALSE
"SVM","Repeat_12_Fold_05",12,"Fold_05",5,6362,0.0727131789690922,0.08112812561311,FALSE,0.0960938489330332,FALSE,0.124554275966504,FALSE,0.0965749603710869,FALSE
"SVM","Repeat_13_Fold_01",13,"Fold_01",1,4678,0.096929781290956,0.119114098347359,FALSE,0.144145616969891,FALSE,0.18188345871556,FALSE,0.135803036685265,FALSE
"SVM","Repeat_13_Fold_02",13,"Fold_02",2,5882,0.0586070180090537,0.140010926491804,FALSE,0.167823038201734,FALSE,0.217965060861644,FALSE,0.155166704010303,FALSE
"SVM","Repeat_13_Fold_03",13,"Fold_03",3,5972,0.12205269478022,0.109549677414066,TRUE,0.129820798822329,FALSE,0.166644806958607,FALSE,0.124933151537356,FALSE
"SVM","Repeat_13_Fold_04",13,"Fold_04",4,5000,0.00156918878725464,0.0964190035729627,FALSE,0.236910033822886,FALSE,0.638006756703237,FALSE,0.271229781002533,FALSE
"SVM","Repeat_13_Fold_05",13,"Fold_05",5,6362,0.138916901100052,0.133349467482216,TRUE,0.167009381687005,FALSE,0.218334725108347,FALSE,0.154908064794507,FALSE
