"Algorithm","Threshold_Method","Run_n","Captured_Run_n","Capture_Rate","Mean_Threshold","SD_Threshold","Minimum_Threshold","Maximum_Threshold"
"SVM","P90",150,55,0.366666666666667,0.0743823744814689,0.0266539389980769,0.0337968237728004,0.172999414142523
"SVM","P95",150,6,0.04,0.0976125264254031,0.0446610787789795,0.0381236824607227,0.266917666989677
"SVM","P99",150,1,0.00666666666666667,0.207636049248359,0.20245415667861,0.04260835651111,0.980321846180309
"SVM","Mean_Plus_2SD",150,8,0.0533333333333333,0.116949888951872,0.0629096244102736,0.0425928640490701,0.333105998802877
