"Algorithm","Run_ID","Repeat","Fold_ID","Grid_ID","Kernel","Cost","Gamma","Inner_nfold","Inner_CV_Logloss"
"SVM","Repeat_05_Fold_04",5,"Fold_04",6,"radial",1,0.1,4,0.163542155752632
"SVM","Repeat_05_Fold_04",5,"Fold_04",7,"radial",10,0.1,4,0.16519306903963
"SVM","Repeat_05_Fold_04",5,"Fold_04",8,"radial",100,0.1,4,0.15070301143253
"SVM","Repeat_05_Fold_04",5,"Fold_04",9,"radial",0.1,1,4,0.216519115841765
"SVM","Repeat_05_Fold_04",5,"Fold_04",10,"radial",1,1,4,0.15782383539534
"SVM","Repeat_05_Fold_04",5,"Fold_04",11,"radial",10,1,4,0.139896864769847
"SVM","Repeat_05_Fold_04",5,"Fold_04",12,"radial",100,1,4,0.148012022875197
"SVM","Repeat_05_Fold_05",5,"Fold_05",1,"radial",0.1,0.01,4,0.180904479451791
"SVM","Repeat_05_Fold_05",5,"Fold_05",2,"radial",1,0.01,4,0.151669641585033
"SVM","Repeat_05_Fold_05",5,"Fold_05",3,"radial",10,0.01,4,0.161747193259591
"SVM","Repeat_05_Fold_05",5,"Fold_05",4,"radial",100,0.01,4,0.153601127119028
"SVM","Repeat_05_Fold_05",5,"Fold_05",5,"radial",0.1,0.1,4,0.171987551798354
"SVM","Repeat_05_Fold_05",5,"Fold_05",6,"radial",1,0.1,4,0.165955903795776
"SVM","Repeat_05_Fold_05",5,"Fold_05",7,"radial",10,0.1,4,0.17664286847308
"SVM","Repeat_05_Fold_05",5,"Fold_05",8,"radial",100,0.1,4,0.177976565198486
"SVM","Repeat_05_Fold_05",5,"Fold_05",9,"radial",0.1,1,4,0.166588968380726
"SVM","Repeat_05_Fold_05",5,"Fold_05",10,"radial",1,1,4,0.165139939485789
"SVM","Repeat_05_Fold_05",5,"Fold_05",11,"radial",10,1,4,0.167750639427845
"SVM","Repeat_05_Fold_05",5,"Fold_05",12,"radial",100,1,4,0.161748398916346
"SVM","Repeat_06_Fold_01",6,"Fold_01",1,"radial",0.1,0.01,4,0.186627260104897
"SVM","Repeat_06_Fold_01",6,"Fold_01",2,"radial",1,0.01,4,0.151524980733717
"SVM","Repeat_06_Fold_01",6,"Fold_01",3,"radial",10,0.01,4,0.163048048264275
"SVM","Repeat_06_Fold_01",6,"Fold_01",4,"radial",100,0.01,4,0.164395950479674
"SVM","Repeat_06_Fold_01",6,"Fold_01",5,"radial",0.1,0.1,4,0.180676662156108
"SVM","Repeat_06_Fold_01",6,"Fold_01",6,"radial",1,0.1,4,0.186483228371184
"SVM","Repeat_06_Fold_01",6,"Fold_01",7,"radial",10,0.1,4,0.185896579282845
"SVM","Repeat_06_Fold_01",6,"Fold_01",8,"radial",100,0.1,4,0.193247497481004
"SVM","Repeat_06_Fold_01",6,"Fold_01",9,"radial",0.1,1,4,0.200483173910042
"SVM","Repeat_06_Fold_01",6,"Fold_01",10,"radial",1,1,4,0.196730458258151
"SVM","Repeat_06_Fold_01",6,"Fold_01",11,"radial",10,1,4,0.217831540761932
"SVM","Repeat_06_Fold_01",6,"Fold_01",12,"radial",100,1,4,0.203834450709942
"SVM","Repeat_06_Fold_02",6,"Fold_02",1,"radial",0.1,0.01,4,0.172981277378728
"SVM","Repeat_06_Fold_02",6,"Fold_02",2,"radial",1,0.01,4,0.142641309440416
"SVM","Repeat_06_Fold_02",6,"Fold_02",3,"radial",10,0.01,4,0.134392394868772
"SVM","Repeat_06_Fold_02",6,"Fold_02",4,"radial",100,0.01,4,0.135364359564075
"SVM","Repeat_06_Fold_02",6,"Fold_02",5,"radial",0.1,0.1,4,0.149522256487477
"SVM","Repeat_06_Fold_02",6,"Fold_02",6,"radial",1,0.1,4,0.149318732255634
"SVM","Repeat_06_Fold_02",6,"Fold_02",7,"radial",10,0.1,4,0.161899506590747
"SVM","Repeat_06_Fold_02",6,"Fold_02",8,"radial",100,0.1,4,0.137050237410087
"SVM","Repeat_06_Fold_02",6,"Fold_02",9,"radial",0.1,1,4,0.238520304639475
"SVM","Repeat_06_Fold_02",6,"Fold_02",10,"radial",1,1,4,0.17714250215289
"SVM","Repeat_06_Fold_02",6,"Fold_02",11,"radial",10,1,4,0.170576754882394
"SVM","Repeat_06_Fold_02",6,"Fold_02",12,"radial",100,1,4,0.203015591222572
"SVM","Repeat_06_Fold_03",6,"Fold_03",1,"radial",0.1,0.01,4,0.185053404572113
"SVM","Repeat_06_Fold_03",6,"Fold_03",2,"radial",1,0.01,4,0.158155995729654
"SVM","Repeat_06_Fold_03",6,"Fold_03",3,"radial",10,0.01,4,0.154898537401024
"SVM","Repeat_06_Fold_03",6,"Fold_03",4,"radial",100,0.01,4,0.152072124923007
"SVM","Repeat_06_Fold_03",6,"Fold_03",5,"radial",0.1,0.1,4,0.159728253561708
"SVM","Repeat_06_Fold_03",6,"Fold_03",6,"radial",1,0.1,4,0.169429436660042
"SVM","Repeat_06_Fold_03",6,"Fold_03",7,"radial",10,0.1,4,0.153032464678961
"SVM","Repeat_06_Fold_03",6,"Fold_03",8,"radial",100,0.1,4,0.179618575319961
"SVM","Repeat_06_Fold_03",6,"Fold_03",9,"radial",0.1,1,4,0.184165533392637
"SVM","Repeat_06_Fold_03",6,"Fold_03",10,"radial",1,1,4,0.170979452766164
"SVM","Repeat_06_Fold_03",6,"Fold_03",11,"radial",10,1,4,0.238941933415769
"SVM","Repeat_06_Fold_03",6,"Fold_03",12,"radial",100,1,4,0.179907908598772
"SVM","Repeat_06_Fold_04",6,"Fold_04",1,"radial",0.1,0.01,4,0.178970444642478
"SVM","Repeat_06_Fold_04",6,"Fold_04",2,"radial",1,0.01,4,0.153976893205151
"SVM","Repeat_06_Fold_04",6,"Fold_04",3,"radial",10,0.01,4,0.161735425175529
"SVM","Repeat_06_Fold_04",6,"Fold_04",4,"radial",100,0.01,4,0.160220954799627
"SVM","Repeat_06_Fold_04",6,"Fold_04",5,"radial",0.1,0.1,4,0.153631938211111
"SVM","Repeat_06_Fold_04",6,"Fold_04",6,"radial",1,0.1,4,0.170563509250704
"SVM","Repeat_06_Fold_04",6,"Fold_04",7,"radial",10,0.1,4,0.158641628972373
"SVM","Repeat_06_Fold_04",6,"Fold_04",8,"radial",100,0.1,4,0.167787876835439
"SVM","Repeat_06_Fold_04",6,"Fold_04",9,"radial",0.1,1,4,0.288694317631325
"SVM","Repeat_06_Fold_04",6,"Fold_04",10,"radial",1,1,4,0.164088996382579
"SVM","Repeat_06_Fold_04",6,"Fold_04",11,"radial",10,1,4,0.158465321351476
"SVM","Repeat_06_Fold_04",6,"Fold_04",12,"radial",100,1,4,0.170420045463489
"SVM","Repeat_06_Fold_05",6,"Fold_05",1,"radial",0.1,0.01,4,0.182421060368119
"SVM","Repeat_06_Fold_05",6,"Fold_05",2,"radial",1,0.01,4,0.144406401749944
"SVM","Repeat_06_Fold_05",6,"Fold_05",3,"radial",10,0.01,4,0.152051505674158
"SVM","Repeat_06_Fold_05",6,"Fold_05",4,"radial",100,0.01,4,0.154568267281139
"SVM","Repeat_06_Fold_05",6,"Fold_05",5,"radial",0.1,0.1,4,0.166029814003271
"SVM","Repeat_06_Fold_05",6,"Fold_05",6,"radial",1,0.1,4,0.168289084466311
"SVM","Repeat_06_Fold_05",6,"Fold_05",7,"radial",10,0.1,4,0.173304279173861
"SVM","Repeat_06_Fold_05",6,"Fold_05",8,"radial",100,0.1,4,0.181350937715349
"SVM","Repeat_06_Fold_05",6,"Fold_05",9,"radial",0.1,1,4,0.168479191166367
"SVM","Repeat_06_Fold_05",6,"Fold_05",10,"radial",1,1,4,0.164054461800987
"SVM","Repeat_06_Fold_05",6,"Fold_05",11,"radial",10,1,4,0.184036340359652
"SVM","Repeat_06_Fold_05",6,"Fold_05",12,"radial",100,1,4,0.164132698205976
"SVM","Repeat_07_Fold_01",7,"Fold_01",1,"radial",0.1,0.01,4,0.183969085381238
"SVM","Repeat_07_Fold_01",7,"Fold_01",2,"radial",1,0.01,4,0.14236134845098
"SVM","Repeat_07_Fold_01",7,"Fold_01",3,"radial",10,0.01,4,0.160366153729134
"SVM","Repeat_07_Fold_01",7,"Fold_01",4,"radial",100,0.01,4,0.149088989269912
"SVM","Repeat_07_Fold_01",7,"Fold_01",5,"radial",0.1,0.1,4,0.179966338370015
"SVM","Repeat_07_Fold_01",7,"Fold_01",6,"radial",1,0.1,4,0.192980847811309
"SVM","Repeat_07_Fold_01",7,"Fold_01",7,"radial",10,0.1,4,0.20929006729745
"SVM","Repeat_07_Fold_01",7,"Fold_01",8,"radial",100,0.1,4,0.207210067472438
"SVM","Repeat_07_Fold_01",7,"Fold_01",9,"radial",0.1,1,4,0.204445040698086
"SVM","Repeat_07_Fold_01",7,"Fold_01",10,"radial",1,1,4,0.167586467960051
"SVM","Repeat_07_Fold_01",7,"Fold_01",11,"radial",10,1,4,0.200377820953689
"SVM","Repeat_07_Fold_01",7,"Fold_01",12,"radial",100,1,4,0.216639783758705
"SVM","Repeat_07_Fold_02",7,"Fold_02",1,"radial",0.1,0.01,4,0.175798417954682
"SVM","Repeat_07_Fold_02",7,"Fold_02",2,"radial",1,0.01,4,0.151129544762441
"SVM","Repeat_07_Fold_02",7,"Fold_02",3,"radial",10,0.01,4,0.147569422079687
"SVM","Repeat_07_Fold_02",7,"Fold_02",4,"radial",100,0.01,4,0.150127060026503
"SVM","Repeat_07_Fold_02",7,"Fold_02",5,"radial",0.1,0.1,4,0.176310093608799
"SVM","Repeat_07_Fold_02",7,"Fold_02",6,"radial",1,0.1,4,0.163811462817032
"SVM","Repeat_07_Fold_02",7,"Fold_02",7,"radial",10,0.1,4,0.179088066454
"SVM","Repeat_07_Fold_02",7,"Fold_02",8,"radial",100,0.1,4,0.168693669063804
"SVM","Repeat_07_Fold_02",7,"Fold_02",9,"radial",0.1,1,4,0.206541495617358
"SVM","Repeat_07_Fold_02",7,"Fold_02",10,"radial",1,1,4,0.171683856673818
"SVM","Repeat_07_Fold_02",7,"Fold_02",11,"radial",10,1,4,0.16455510665817
"SVM","Repeat_07_Fold_02",7,"Fold_02",12,"radial",100,1,4,0.169804611132838
"SVM","Repeat_07_Fold_03",7,"Fold_03",1,"radial",0.1,0.01,4,0.185480094692889
"SVM","Repeat_07_Fold_03",7,"Fold_03",2,"radial",1,0.01,4,0.16477286117987
"SVM","Repeat_07_Fold_03",7,"Fold_03",3,"radial",10,0.01,4,0.158803769110728
"SVM","Repeat_07_Fold_03",7,"Fold_03",4,"radial",100,0.01,4,0.148616158442533
"SVM","Repeat_07_Fold_03",7,"Fold_03",5,"radial",0.1,0.1,4,0.172973077311526
"SVM","Repeat_07_Fold_03",7,"Fold_03",6,"radial",1,0.1,4,0.179094871336785
"SVM","Repeat_07_Fold_03",7,"Fold_03",7,"radial",10,0.1,4,0.178819340724778
"SVM","Repeat_07_Fold_03",7,"Fold_03",8,"radial",100,0.1,4,0.200333785583622
"SVM","Repeat_07_Fold_03",7,"Fold_03",9,"radial",0.1,1,4,0.168176361666275
"SVM","Repeat_07_Fold_03",7,"Fold_03",10,"radial",1,1,4,0.166396110371187
"SVM","Repeat_07_Fold_03",7,"Fold_03",11,"radial",10,1,4,0.166018384824725
"SVM","Repeat_07_Fold_03",7,"Fold_03",12,"radial",100,1,4,0.163645846257112
"SVM","Repeat_07_Fold_04",7,"Fold_04",1,"radial",0.1,0.01,4,0.163309109576837
"SVM","Repeat_07_Fold_04",7,"Fold_04",2,"radial",1,0.01,4,0.131227319818345
"SVM","Repeat_07_Fold_04",7,"Fold_04",3,"radial",10,0.01,4,0.127268584750714
"SVM","Repeat_07_Fold_04",7,"Fold_04",4,"radial",100,0.01,4,0.141556779925248
"SVM","Repeat_07_Fold_04",7,"Fold_04",5,"radial",0.1,0.1,4,0.173241859439585
"SVM","Repeat_07_Fold_04",7,"Fold_04",6,"radial",1,0.1,4,0.148603268770178
"SVM","Repeat_07_Fold_04",7,"Fold_04",7,"radial",10,0.1,4,0.135238877113184
"SVM","Repeat_07_Fold_04",7,"Fold_04",8,"radial",100,0.1,4,0.137306882527311
"SVM","Repeat_07_Fold_04",7,"Fold_04",9,"radial",0.1,1,4,0.20313706982746
"SVM","Repeat_07_Fold_04",7,"Fold_04",10,"radial",1,1,4,0.185845601516492
"SVM","Repeat_07_Fold_04",7,"Fold_04",11,"radial",10,1,4,0.156451427179974
"SVM","Repeat_07_Fold_04",7,"Fold_04",12,"radial",100,1,4,0.149473612786709
"SVM","Repeat_07_Fold_05",7,"Fold_05",1,"radial",0.1,0.01,4,0.170656800272781
"SVM","Repeat_07_Fold_05",7,"Fold_05",2,"radial",1,0.01,4,0.159203479133342
"SVM","Repeat_07_Fold_05",7,"Fold_05",3,"radial",10,0.01,4,0.153214087748445
"SVM","Repeat_07_Fold_05",7,"Fold_05",4,"radial",100,0.01,4,0.147051778850915
"SVM","Repeat_07_Fold_05",7,"Fold_05",5,"radial",0.1,0.1,4,0.165030716381167
"SVM","Repeat_07_Fold_05",7,"Fold_05",6,"radial",1,0.1,4,0.162223662772064
"SVM","Repeat_07_Fold_05",7,"Fold_05",7,"radial",10,0.1,4,0.1588129523367
"SVM","Repeat_07_Fold_05",7,"Fold_05",8,"radial",100,0.1,4,0.166154976344296
"SVM","Repeat_07_Fold_05",7,"Fold_05",9,"radial",0.1,1,4,0.169710540165946
"SVM","Repeat_07_Fold_05",7,"Fold_05",10,"radial",1,1,4,0.16462680027874
"SVM","Repeat_07_Fold_05",7,"Fold_05",11,"radial",10,1,4,0.165393997260905
"SVM","Repeat_07_Fold_05",7,"Fold_05",12,"radial",100,1,4,0.166342246318559
"SVM","Repeat_08_Fold_01",8,"Fold_01",1,"radial",0.1,0.01,4,0.166864840437355
"SVM","Repeat_08_Fold_01",8,"Fold_01",2,"radial",1,0.01,4,0.158576528765006
"SVM","Repeat_08_Fold_01",8,"Fold_01",3,"radial",10,0.01,4,0.159665958883818
"SVM","Repeat_08_Fold_01",8,"Fold_01",4,"radial",100,0.01,4,0.2078151846553
"SVM","Repeat_08_Fold_01",8,"Fold_01",5,"radial",0.1,0.1,4,0.172308076771986
"SVM","Repeat_08_Fold_01",8,"Fold_01",6,"radial",1,0.1,4,0.171799190896412
"SVM","Repeat_08_Fold_01",8,"Fold_01",7,"radial",10,0.1,4,0.18454229102571
"SVM","Repeat_08_Fold_01",8,"Fold_01",8,"radial",100,0.1,4,0.17589763842127
"SVM","Repeat_08_Fold_01",8,"Fold_01",9,"radial",0.1,1,4,0.174860496638588
"SVM","Repeat_08_Fold_01",8,"Fold_01",10,"radial",1,1,4,0.15154917888028
"SVM","Repeat_08_Fold_01",8,"Fold_01",11,"radial",10,1,4,0.136482867579628
"SVM","Repeat_08_Fold_01",8,"Fold_01",12,"radial",100,1,4,0.145928017389166
"SVM","Repeat_08_Fold_02",8,"Fold_02",1,"radial",0.1,0.01,4,0.18023885172961
"SVM","Repeat_08_Fold_02",8,"Fold_02",2,"radial",1,0.01,4,0.155705368868942
"SVM","Repeat_08_Fold_02",8,"Fold_02",3,"radial",10,0.01,4,0.146168199554255
"SVM","Repeat_08_Fold_02",8,"Fold_02",4,"radial",100,0.01,4,0.144922752186463
"SVM","Repeat_08_Fold_02",8,"Fold_02",5,"radial",0.1,0.1,4,0.181070905299904
"SVM","Repeat_08_Fold_02",8,"Fold_02",6,"radial",1,0.1,4,0.153452233847905
"SVM","Repeat_08_Fold_02",8,"Fold_02",7,"radial",10,0.1,4,0.187727731275867
"SVM","Repeat_08_Fold_02",8,"Fold_02",8,"radial",100,0.1,4,0.187809834469396
"SVM","Repeat_08_Fold_02",8,"Fold_02",9,"radial",0.1,1,4,0.216781306610432
"SVM","Repeat_08_Fold_02",8,"Fold_02",10,"radial",1,1,4,0.1698164924324
"SVM","Repeat_08_Fold_02",8,"Fold_02",11,"radial",10,1,4,0.158515217573413
"SVM","Repeat_08_Fold_02",8,"Fold_02",12,"radial",100,1,4,0.169638629584845
"SVM","Repeat_08_Fold_03",8,"Fold_03",1,"radial",0.1,0.01,4,0.188196032016634
"SVM","Repeat_08_Fold_03",8,"Fold_03",2,"radial",1,0.01,4,0.168329807811853
"SVM","Repeat_08_Fold_03",8,"Fold_03",3,"radial",10,0.01,4,0.138677107396502
"SVM","Repeat_08_Fold_03",8,"Fold_03",4,"radial",100,0.01,4,0.153359178089898
"SVM","Repeat_08_Fold_03",8,"Fold_03",5,"radial",0.1,0.1,4,0.169122403149449
"SVM","Repeat_08_Fold_03",8,"Fold_03",6,"radial",1,0.1,4,0.178827552739084
"SVM","Repeat_08_Fold_03",8,"Fold_03",7,"radial",10,0.1,4,0.228183569593645
"SVM","Repeat_08_Fold_03",8,"Fold_03",8,"radial",100,0.1,4,0.217281771137343
"SVM","Repeat_08_Fold_03",8,"Fold_03",9,"radial",0.1,1,4,0.171717521061452
"SVM","Repeat_08_Fold_03",8,"Fold_03",10,"radial",1,1,4,0.163300335510184
"SVM","Repeat_08_Fold_03",8,"Fold_03",11,"radial",10,1,4,0.181158574471199
"SVM","Repeat_08_Fold_03",8,"Fold_03",12,"radial",100,1,4,0.164164359327797
"SVM","Repeat_08_Fold_04",8,"Fold_04",1,"radial",0.1,0.01,4,0.158163975326318
"SVM","Repeat_08_Fold_04",8,"Fold_04",2,"radial",1,0.01,4,0.123455879231526
"SVM","Repeat_08_Fold_04",8,"Fold_04",3,"radial",10,0.01,4,0.163826680995325
"SVM","Repeat_08_Fold_04",8,"Fold_04",4,"radial",100,0.01,4,0.173503956256928
"SVM","Repeat_08_Fold_04",8,"Fold_04",5,"radial",0.1,0.1,4,0.149242523704479
"SVM","Repeat_08_Fold_04",8,"Fold_04",6,"radial",1,0.1,4,0.121378903218586
"SVM","Repeat_08_Fold_04",8,"Fold_04",7,"radial",10,0.1,4,0.0995203897080177
"SVM","Repeat_08_Fold_04",8,"Fold_04",8,"radial",100,0.1,4,0.133111858774451
"SVM","Repeat_08_Fold_04",8,"Fold_04",9,"radial",0.1,1,4,0.20894107902683
"SVM","Repeat_08_Fold_04",8,"Fold_04",10,"radial",1,1,4,0.161415827981325
"SVM","Repeat_08_Fold_04",8,"Fold_04",11,"radial",10,1,4,0.169812003349912
"SVM","Repeat_08_Fold_04",8,"Fold_04",12,"radial",100,1,4,0.135440138565457
"SVM","Repeat_08_Fold_05",8,"Fold_05",1,"radial",0.1,0.01,4,0.152334793642595
"SVM","Repeat_08_Fold_05",8,"Fold_05",2,"radial",1,0.01,4,0.146449809419571
"SVM","Repeat_08_Fold_05",8,"Fold_05",3,"radial",10,0.01,4,0.142362779580003
"SVM","Repeat_08_Fold_05",8,"Fold_05",4,"radial",100,0.01,4,0.176002916780522
"SVM","Repeat_08_Fold_05",8,"Fold_05",5,"radial",0.1,0.1,4,0.161733222841836
"SVM","Repeat_08_Fold_05",8,"Fold_05",6,"radial",1,0.1,4,0.168890913319817
"SVM","Repeat_08_Fold_05",8,"Fold_05",7,"radial",10,0.1,4,0.206177565387444
"SVM","Repeat_08_Fold_05",8,"Fold_05",8,"radial",100,0.1,4,0.191576730273389
"SVM","Repeat_08_Fold_05",8,"Fold_05",9,"radial",0.1,1,4,0.1671363701313
"SVM","Repeat_08_Fold_05",8,"Fold_05",10,"radial",1,1,4,0.168097844082495
"SVM","Repeat_08_Fold_05",8,"Fold_05",11,"radial",10,1,4,0.160626875203246
"SVM","Repeat_08_Fold_05",8,"Fold_05",12,"radial",100,1,4,0.158860163608828
"SVM","Repeat_09_Fold_01",9,"Fold_01",1,"radial",0.1,0.01,4,0.182747482977071
"SVM","Repeat_09_Fold_01",9,"Fold_01",2,"radial",1,0.01,4,0.139484267182566
"SVM","Repeat_09_Fold_01",9,"Fold_01",3,"radial",10,0.01,4,0.153771091760576
"SVM","Repeat_09_Fold_01",9,"Fold_01",4,"radial",100,0.01,4,0.17550605600147
"SVM","Repeat_09_Fold_01",9,"Fold_01",5,"radial",0.1,0.1,4,0.160292033161737
"SVM","Repeat_09_Fold_01",9,"Fold_01",6,"radial",1,0.1,4,0.174258606583532
"SVM","Repeat_09_Fold_01",9,"Fold_01",7,"radial",10,0.1,4,0.198521249259471
"SVM","Repeat_09_Fold_01",9,"Fold_01",8,"radial",100,0.1,4,0.174238410419408
"SVM","Repeat_09_Fold_01",9,"Fold_01",9,"radial",0.1,1,4,0.215545919429167
"SVM","Repeat_09_Fold_01",9,"Fold_01",10,"radial",1,1,4,0.1630049087191
"SVM","Repeat_09_Fold_01",9,"Fold_01",11,"radial",10,1,4,0.133410195365783
"SVM","Repeat_09_Fold_01",9,"Fold_01",12,"radial",100,1,4,0.144363873082363
"SVM","Repeat_09_Fold_02",9,"Fold_02",1,"radial",0.1,0.01,4,0.175770530702302
"SVM","Repeat_09_Fold_02",9,"Fold_02",2,"radial",1,0.01,4,0.157107955098794
"SVM","Repeat_09_Fold_02",9,"Fold_02",3,"radial",10,0.01,4,0.136196247055022
"SVM","Repeat_09_Fold_02",9,"Fold_02",4,"radial",100,0.01,4,0.136033983173858
"SVM","Repeat_09_Fold_02",9,"Fold_02",5,"radial",0.1,0.1,4,0.156429414282212
"SVM","Repeat_09_Fold_02",9,"Fold_02",6,"radial",1,0.1,4,0.159124295309689
"SVM","Repeat_09_Fold_02",9,"Fold_02",7,"radial",10,0.1,4,0.172345052744582
"SVM","Repeat_09_Fold_02",9,"Fold_02",8,"radial",100,0.1,4,0.177479906596246
"SVM","Repeat_09_Fold_02",9,"Fold_02",9,"radial",0.1,1,4,0.182612006688695
"SVM","Repeat_09_Fold_02",9,"Fold_02",10,"radial",1,1,4,0.171184943650742
"SVM","Repeat_09_Fold_02",9,"Fold_02",11,"radial",10,1,4,0.14779150048763
"SVM","Repeat_09_Fold_02",9,"Fold_02",12,"radial",100,1,4,0.132440590019375
"SVM","Repeat_09_Fold_03",9,"Fold_03",1,"radial",0.1,0.01,4,0.171427574436802
"SVM","Repeat_09_Fold_03",9,"Fold_03",2,"radial",1,0.01,4,0.161303301675897
"SVM","Repeat_09_Fold_03",9,"Fold_03",3,"radial",10,0.01,4,0.165720595819174
"SVM","Repeat_09_Fold_03",9,"Fold_03",4,"radial",100,0.01,4,0.130244904465735
"SVM","Repeat_09_Fold_03",9,"Fold_03",5,"radial",0.1,0.1,4,0.165710173593177
"SVM","Repeat_09_Fold_03",9,"Fold_03",6,"radial",1,0.1,4,0.18034012854399
"SVM","Repeat_09_Fold_03",9,"Fold_03",7,"radial",10,0.1,4,0.196604106094748
"SVM","Repeat_09_Fold_03",9,"Fold_03",8,"radial",100,0.1,4,0.214599800348492
"SVM","Repeat_09_Fold_03",9,"Fold_03",9,"radial",0.1,1,4,0.174575794699692
"SVM","Repeat_09_Fold_03",9,"Fold_03",10,"radial",1,1,4,0.163313483311524
"SVM","Repeat_09_Fold_03",9,"Fold_03",11,"radial",10,1,4,0.17952000790122
"SVM","Repeat_09_Fold_03",9,"Fold_03",12,"radial",100,1,4,0.167470467182942
"SVM","Repeat_09_Fold_04",9,"Fold_04",1,"radial",0.1,0.01,4,0.165705475187929
"SVM","Repeat_09_Fold_04",9,"Fold_04",2,"radial",1,0.01,4,0.165516771074409
"SVM","Repeat_09_Fold_04",9,"Fold_04",3,"radial",10,0.01,4,0.144123244263508
"SVM","Repeat_09_Fold_04",9,"Fold_04",4,"radial",100,0.01,4,0.190080012732435
"SVM","Repeat_09_Fold_04",9,"Fold_04",5,"radial",0.1,0.1,4,0.143461676994517
"SVM","Repeat_09_Fold_04",9,"Fold_04",6,"radial",1,0.1,4,0.123111839937425
"SVM","Repeat_09_Fold_04",9,"Fold_04",7,"radial",10,0.1,4,0.16477217532436
"SVM","Repeat_09_Fold_04",9,"Fold_04",8,"radial",100,0.1,4,0.160812985570952
"SVM","Repeat_09_Fold_04",9,"Fold_04",9,"radial",0.1,1,4,0.206670684969196
"SVM","Repeat_09_Fold_04",9,"Fold_04",10,"radial",1,1,4,0.148759119488146
"SVM","Repeat_09_Fold_04",9,"Fold_04",11,"radial",10,1,4,0.132469519785947
"SVM","Repeat_09_Fold_04",9,"Fold_04",12,"radial",100,1,4,0.161560172264169
"SVM","Repeat_09_Fold_05",9,"Fold_05",1,"radial",0.1,0.01,4,0.224503826731133
"SVM","Repeat_09_Fold_05",9,"Fold_05",2,"radial",1,0.01,4,0.153928416824542
"SVM","Repeat_09_Fold_05",9,"Fold_05",3,"radial",10,0.01,4,0.154333631942089
"SVM","Repeat_09_Fold_05",9,"Fold_05",4,"radial",100,0.01,4,0.157284448899927
"SVM","Repeat_09_Fold_05",9,"Fold_05",5,"radial",0.1,0.1,4,0.196741496289934
"SVM","Repeat_09_Fold_05",9,"Fold_05",6,"radial",1,0.1,4,0.183571649487027
"SVM","Repeat_09_Fold_05",9,"Fold_05",7,"radial",10,0.1,4,0.188010747016635
"SVM","Repeat_09_Fold_05",9,"Fold_05",8,"radial",100,0.1,4,0.245127385522199
"SVM","Repeat_09_Fold_05",9,"Fold_05",9,"radial",0.1,1,4,0.167986360798352
"SVM","Repeat_09_Fold_05",9,"Fold_05",10,"radial",1,1,4,0.167498843471886
"SVM","Repeat_09_Fold_05",9,"Fold_05",11,"radial",10,1,4,0.175479654361908
"SVM","Repeat_09_Fold_05",9,"Fold_05",12,"radial",100,1,4,0.169279614733014
"SVM","Repeat_10_Fold_01",10,"Fold_01",1,"radial",0.1,0.01,4,0.183558174765362
"SVM","Repeat_10_Fold_01",10,"Fold_01",2,"radial",1,0.01,4,0.165068260126503
"SVM","Repeat_10_Fold_01",10,"Fold_01",3,"radial",10,0.01,4,0.16546607889414
"SVM","Repeat_10_Fold_01",10,"Fold_01",4,"radial",100,0.01,4,0.171077987138186
"SVM","Repeat_10_Fold_01",10,"Fold_01",5,"radial",0.1,0.1,4,0.183532931734591
"SVM","Repeat_10_Fold_01",10,"Fold_01",6,"radial",1,0.1,4,0.198019909217812
"SVM","Repeat_10_Fold_01",10,"Fold_01",7,"radial",10,0.1,4,0.190290704990852
"SVM","Repeat_10_Fold_01",10,"Fold_01",8,"radial",100,0.1,4,0.203407543001564
"SVM","Repeat_10_Fold_01",10,"Fold_01",9,"radial",0.1,1,4,0.214538639087594
"SVM","Repeat_10_Fold_01",10,"Fold_01",10,"radial",1,1,4,0.254241159799684
"SVM","Repeat_10_Fold_01",10,"Fold_01",11,"radial",10,1,4,0.176292116933019
"SVM","Repeat_10_Fold_01",10,"Fold_01",12,"radial",100,1,4,0.216540982277536
"SVM","Repeat_10_Fold_02",10,"Fold_02",1,"radial",0.1,0.01,4,0.182775186689268
"SVM","Repeat_10_Fold_02",10,"Fold_02",2,"radial",1,0.01,4,0.154849263950771
"SVM","Repeat_10_Fold_02",10,"Fold_02",3,"radial",10,0.01,4,0.144519409785833
"SVM","Repeat_10_Fold_02",10,"Fold_02",4,"radial",100,0.01,4,0.162310715968667
"SVM","Repeat_10_Fold_02",10,"Fold_02",5,"radial",0.1,0.1,4,0.171534665076405
"SVM","Repeat_10_Fold_02",10,"Fold_02",6,"radial",1,0.1,4,0.172249476418122
"SVM","Repeat_10_Fold_02",10,"Fold_02",7,"radial",10,0.1,4,0.17442094825738
"SVM","Repeat_10_Fold_02",10,"Fold_02",8,"radial",100,0.1,4,0.165035965468775
"SVM","Repeat_10_Fold_02",10,"Fold_02",9,"radial",0.1,1,4,0.242484942558884
"SVM","Repeat_10_Fold_02",10,"Fold_02",10,"radial",1,1,4,0.16359182682202
"SVM","Repeat_10_Fold_02",10,"Fold_02",11,"radial",10,1,4,0.163238384328033
"SVM","Repeat_10_Fold_02",10,"Fold_02",12,"radial",100,1,4,0.194741497205618
"SVM","Repeat_10_Fold_03",10,"Fold_03",1,"radial",0.1,0.01,4,0.172791827520918
"SVM","Repeat_10_Fold_03",10,"Fold_03",2,"radial",1,0.01,4,0.160276802682755
