SampleID,X,Y,Pb,Cu,Zn
168,531832.76,4418552.83,180,325,105
169,531792.99,4418582.77,175,150,115
170,531754.26,4418612.02,45,185,70
171,531716.09,4418640.12,40,70,75
172,531678.11,4418669.75,35,48,110
173,531640.27,4418698.78,30,78,100
174,531602.34,4418727.49,25,43,80
175,532651.87,4418054.47,45,10,30
176,532615.49,4418082.81,25,15,60
177,532576.7,4418112.07,40,23,80
178,532538.79,4418140.4,35,20,75
179,532501.66,4418168.21,35,15,75
180,532463.08,4418198,35,13,60
181,532423.4,4418227.42,35,15,95
182,532385.94,4418256.67,70,18,110
183,532345.99,4418285.91,50,15,65
184,532308.24,4418315.49,150,15,180
185,532268.98,4418344.48,65,23,95
186,532231.67,4418373.13,80,15,90
187,532192.39,4418402.61,95,90,45
188,532155.03,4418430.85,650,260,60
189,532115.84,4418460.38,150,38,120
190,532078.53,4418488.7,40,35,95
191,532040.12,4418518.06,225,50,25
192,532000.69,4418547.29,75,58,30
193,531963.65,4418575.59,25,155,50
194,531924.79,4418605.33,20,80,25
195,531886.8,4418634.98,15,170,35
196,531847.51,4418663.92,20,50,30
197,531808.28,4418693.99,120,205,55
198,531770.16,4418722.68,100,1000,75
199,531732.7,4418751.06,215,425,60
200,531693.9,4418780.23,35,85,105
201,531655.59,4418806.92,20,93,25
228,532705.95,4418134.89,20,13,50
229,532669.16,4418163.32,30,15,55
230,532629.52,4418192.42,40,10,45
231,532592.83,4418220.69,35,15,70
232,532555.46,4418249.42,30,15,70
233,532516.38,4418278.47,30,20,80
234,532477.29,4418308.17,45,28,85
235,532439.84,4418336.76,40,20,75
236,532399.88,4418366.95,30,25,90
237,532361.42,4418396.89,55,20,100
238,532323.47,4418425.23,70,110,95
239,532285.57,4418453.82,95,25,70
240,532245.72,4418483.87,60,55,145
241,532208.65,4418511.73,1050,170,50
242,532169.4,4418541.52,1700,950,35
243,532132.19,4418569.89,120,110,55
244,532094.29,4418598.82,25,28,30
245,532054.68,4418628.26,40,35,15
246,532017.3,4418657.02,20,63,80
247,531978.05,4418686.49,15,55,20
248,531940.65,4418715.73,15,93,20
249,531900.77,4418745,15,65,25
250,531861.66,4418775.01,30,80,45
251,531823.82,4418803.53,35,70,50
252,531786.37,4418832.14,40,175,35
253,531747.46,4418861.28,175,140,20
254,531710.04,4418889.92,15,700,30
281,532760.35,4418217.43,20,18,65
282,532723.42,4418244.51,30,15,55
283,532684.1,4418274.52,25,13,50
284,532648.01,4418301.42,30,15,55
285,532609.79,4418330.69,25,15,50
286,532571.52,4418360.37,20,25,55
287,532532,4418390.33,35,15,60
288,532493.88,4418418.72,110,20,120
289,532454.31,4418449.28,45,25,100
290,532416.55,4418478.3,70,25,90
291,532377.48,4418507.56,35,18,70
292,532339.94,4418535.97,45,45,105
293,532300,4418566.11,25,33,65
294,532263.36,4418594.1,30,20,100
295,532223.81,4418623.94,40,15,70
296,532187.03,4418652.57,30,25,70
297,532149.41,4418681.04,50,25,95
298,532109.5,4418711.14,15,195,30
299,532071.97,4418739.45,20,185,35
300,532032.62,4418769.26,15,205,40
301,531994.52,4418797.93,15,78,50
302,531955.42,4418828.35,30,33,70
303,531916.56,4418857.87,20,50,55
304,531878.54,4418885.95,30,200,50
305,531840.76,4418914.49,35,235,145
306,531802.04,4418943.58,25,80,20
307,531764.72,4418971.55,30,45,20
334,532814.79,4418299.31,5,13,75
335,532778.68,4418327.02,15,40,55
336,532738.95,4418356.57,40,18,65
337,532704.19,4418383.63,40,13,65
338,532665.19,4418412.67,30,13,55
339,532626.17,4418442.41,30,20,55
340,532586.38,4418472.72,200,23,60
341,532548.44,4418500.95,80,140,90
342,532509.03,4418531.26,95,25,125
343,532471.03,4418559.81,310,10,150
344,532432.1,4418589.09,120,23,125
345,532394.96,4418617.73,80,23,275
346,532354.89,4418647.23,345,33,265
347,532317.92,4418675.94,45,30,105
348,532278.77,4418705.7,45,25,105
349,532240.8,4418733.98,195,48,50
350,532203.81,4418762.04,45,33,90
351,532163.69,4418792.71,30,30,90
352,532126.39,4418821.01,45,420,80
353,532086.95,4418851.23,55,500,75
354,532049.14,4418879.28,170,1050,55
355,532009.66,4418908.38,25,245,95
356,531970.06,4418938.86,25,110,85
357,531932.22,4418966.5,20,230,40
358,531894.4,4418995.45,20,50,70
359,531856.02,4419023.04,20,43,45
360,531817.56,4419053.29,15,25,25
