"CellID","X","Y","Pb_OK","Zn_OK","Cu_OK","Lithology","Dist_Fault","Dist_Silicified","Dist_Brecciated","Min_Dist_to_Occurrence_m","Background_Eligible"
1,531013.5791,4419989.11,49.193920135498,58.9003715515137,139.74885559082,1,237.170822143555,1610.12426757812,1544.34448242188,1716.95127888296,TRUE
2,531038.5791,4419989.11,49.193920135498,58.9001312255859,139.74885559082,1,230.488616943359,1599.41394042969,1532.359375,1703.44522925095,TRUE
3,531063.5791,4419989.11,49.193920135498,58.8998641967773,139.74885559082,1,226.384643554688,1589.02478027344,1520.69067382812,1690.20105432988,TRUE
4,531088.5791,4419989.11,39.6293334960938,58.9989700317383,155.02619934082,1,223.606796264648,1578.96325683594,1509.34594726562,1677.2249577972,TRUE
5,531113.5791,4419989.11,39.6293334960938,58.998649597168,155.02619934082,1,213.600082397461,1569.23547363281,1498.33239746094,1664.52320922774,TRUE
6,531138.5791,4419989.11,39.6293334960938,58.9982986450195,155.02619934082,1,206.1552734375,1559.84777832031,1487.65759277344,1652.10213638801,TRUE
7,531163.5791,4419989.11,39.6293334960938,58.9979209899902,155.02619934082,1,201.556442260742,1550.80627441406,1477.32873535156,1639.96811678088,TRUE
8,531188.5791,4419989.11,39.6293296813965,58.9975128173828,155.02619934082,1,200,1542.11706542969,1467.35302734375,1628.12756842264,TRUE
9,531213.5791,4419989.11,39.6293296813965,58.9970779418945,155.02619934082,1,200,1533.78625488281,1457.73803710938,1616.58693983894,TRUE
10,531238.5791,4419989.11,39.6293296813965,58.9966125488281,155.02619934082,1,190.394332885742,1525.81945800781,1448.49060058594,1605.35269927135,TRUE
11,531263.5791,4419989.11,39.6293296813965,58.9961166381836,155.02619934082,1,182.002746582031,1518.22265625,1439.61804199219,1594.43132309228,TRUE
12,531288.5791,4419989.11,39.6293258666992,58.9956016540527,155.02619934082,1,176.776702880859,1511.00134277344,1431.12719726562,1583.82928343234,TRUE
13,531313.5791,4419989.11,41.2468910217285,57.0967140197754,151.46891784668,1,175,1504.16088867188,1423.02490234375,1573.55303503181,TRUE
14,531338.5791,4419989.11,41.2468872070312,57.0961837768555,151.46891784668,1,167.705093383789,1497.70654296875,1415.31799316406,1563.60900133563,TRUE
