"Threshold_Method","Ensemble_Threshold","Ensemble_Prospective_Cell_n","Ensemble_Prospective_Grid_Percent","Mean_Threshold","SD_Threshold","Threshold_CV","Minimum_Threshold","Maximum_Threshold","TP","FN","TN","FP","Recall","Specificity","Precision","F1","Balanced_Accuracy","Occurrence_Capture_Percent","Background_Rejection_Percent","Background_False_Positive_Percent","Predicted_Positive_Rate","Background_False_Positive_Rate"
"P90",0.0831089141044258,960,10,0.0839105033403258,0.0220914200353514,0.263273596938784,0.004,0.153595594220137,127,23,13663,1337,0.846666666666667,0.910866666666667,0.0867486338797814,0.157372986369269,0.878766666666667,84.6666666666667,91.0866666666667,8.91333333333333,0.0966336633663366,0.0891333333333333
"P95",0.154400787811881,480,5,0.150811521776737,0.053187372813093,0.352674465362349,0.0380499999999993,0.409333333333333,19,131,14378,622,0.126666666666667,0.958533333333333,0.0296411856474259,0.0480404551201011,0.5426,12.6666666666667,95.8533333333333,4.14666666666667,0.0423102310231023,0.0414666666666667
"P99",0.291361415488511,96,1,0.319678559726777,0.14730519091374,0.460791587148162,0.170393857530238,0.845666666666667,0,150,14885,115,0,0.992333333333333,0,,0.496166666666667,0,99.2333333333333,0.766666666666667,0.00759075907590759,0.00766666666666667
"Mean_Plus_2SD",0.145995069191059,512,5.33333333333333,0.155576969585021,0.0551309934505419,0.354364746900494,0.101312703573678,0.358995226271125,27,123,14343,657,0.18,0.9562,0.0394736842105263,0.0647482014388489,0.5681,18,95.62,4.38,0.0451485148514851,0.0438
"Median_Plus_2MAD_Scaled",0.0399754683201553,2026,21.1041666666667,0.0348989532684861,0.0143736423657066,0.411864569551032,0,0.0591679243241828,150,0,11185,3815,1,0.745666666666667,0.0378310214375788,0.0729040097205346,0.872833333333333,100,74.5666666666667,25.4333333333333,0.261716171617162,0.254333333333333
