"Algorithm","Mean_of_MeanProbability","SD_of_MeanProbability","Median_MeanProbability","Min_MeanProbability","Max_MeanProbability","Mean_Uncertainty","Median_Uncertainty","Max_Uncertainty","Mean_Prediction_Range","Median_Prediction_Range","Min_Prediction_n","Max_Prediction_n"
"RF",0.0347296731678304,0.0556326980116143,0.0147996471288396,0.00230215994756195,0.395675963610408,0.018995192205135,0.00770739308707058,0.185788651113828,0.108110888326376,0.0416272434438885,150,150
"XGB",0.0705719579828023,0.151732250449192,0.0130527232337045,0.00821881075932955,0.882856867313385,0.048672099768787,0.0103342812214308,0.368368978464533,0.215862820539554,0.067945553921163,150,150
"SVM",0.0408085101109818,0.0281645934667583,0.0295145131491839,0.0206738954073159,0.233085034455822,0.0240957981505967,0.0133392001712191,0.298931640324353,0.132800350996052,0.0700946813556545,150,150
