"np","dist","gamma","dir.hor","dir.ver","id"
262,48.0383585989241,0.0629529401604505,0,0,"var1"
490,96.1458788578837,0.0909916723312933,0,0,"var1"
1234,126.762572567001,0.107318213603696,0,0,"var1"
1052,186.492728358584,0.132219113132289,0,0,"var1"
1632,221.746080488256,0.140841597882774,0,0,"var1"
1730,278.705447728773,0.15173703459832,0,0,"var1"
2208,322.688840006897,0.150448527760877,0,0,"var1"
2134,382.070907604167,0.168924778396616,0,0,"var1"
2331,425.846077326136,0.170291441880447,0,0,"var1"
2105,481.562934458837,0.185576149597108,0,0,"var1"
2374,523.208747562871,0.181657576619443,0,0,"var1"
2326,579.242610011123,0.185567760678612,0,0,"var1"
2395,624.308333066822,0.177117677064032,0,0,"var1"
2143,679.717657861778,0.159603574179446,0,0,"var1"
2128,722.673847260761,0.144580355676991,0,0,"var1"
2133,777.348366610444,0.125286769967144,0,0,"var1"
