"np","dist","gamma","dir.hor","dir.ver","id"
262,48.0383585989241,0.0648254764706137,0,0,"var1"
490,96.1458788578837,0.0936942577384087,0,0,"var1"
1234,126.762572567001,0.104159759164655,0,0,"var1"
1052,186.492728358584,0.113658775040674,0,0,"var1"
1632,221.746080488256,0.126486595284754,0,0,"var1"
1730,278.705447728773,0.127576557497369,0,0,"var1"
2208,322.688840006897,0.130784909328911,0,0,"var1"
2134,382.070907604167,0.14424723690675,0,0,"var1"
2331,425.846077326136,0.1548656115081,0,0,"var1"
2105,481.562934458837,0.172719053502237,0,0,"var1"
2374,523.208747562871,0.180658705575875,0,0,"var1"
2326,579.242610011123,0.195481072913061,0,0,"var1"
2395,624.308333066822,0.205513592293834,0,0,"var1"
2143,679.717657861778,0.21597326657052,0,0,"var1"
2128,722.673847260761,0.219467318194199,0,0,"var1"
2133,777.348366610444,0.234159562312877,0,0,"var1"
