"CellID","X","Y","Occurrence","Is_Occurrence_Cell","Min_Dist_to_Occurrence_m","Inside_50m_Buffer","Background_Eligible"
72,532788.5791,4419989.11,,FALSE,1665.60874729263,FALSE,TRUE
73,532813.5791,4419989.11,,FALSE,1678.33442855044,FALSE,TRUE
74,532838.5791,4419989.11,,FALSE,1691.33391412155,FALSE,TRUE
75,532863.5791,4419989.11,,FALSE,1704.6009398266,FALSE,TRUE
76,532888.5791,4419989.11,,FALSE,1718.12930801431,FALSE,TRUE
77,532913.5791,4419989.11,,FALSE,1731.91289447758,FALSE,TRUE
78,532938.5791,4419989.11,,FALSE,1745.94565466905,FALSE,TRUE
79,532963.5791,4419989.11,,FALSE,1760.22162924381,FALSE,TRUE
80,532988.5791,4419989.11,,FALSE,1774.73494895934,FALSE,TRUE
81,531013.5791,4419964.11,,FALSE,1696.05164840514,FALSE,TRUE
82,531038.5791,4419964.11,,FALSE,1682.3778258934,FALSE,TRUE
83,531063.5791,4419964.11,,FALSE,1668.96647781128,FALSE,TRUE
84,531088.5791,4419964.11,,FALSE,1655.82398190683,FALSE,TRUE
85,531113.5791,4419964.11,,FALSE,1642.95679007629,FALSE,TRUE
86,531138.5791,4419964.11,,FALSE,1630.37142058422,FALSE,TRUE
87,531163.5791,4419964.11,,FALSE,1618.07444947932,FALSE,TRUE
88,531188.5791,4419964.11,,FALSE,1606.07250118349,FALSE,TRUE
89,531213.5791,4419964.11,,FALSE,1594.37223823604,FALSE,TRUE
90,531238.5791,4419964.11,,FALSE,1582.98035018057,FALSE,TRUE
91,531263.5791,4419964.11,,FALSE,1571.90354158829,FALSE,TRUE
92,531288.5791,4419964.11,,FALSE,1561.1485192184,FALSE,TRUE
93,531313.5791,4419964.11,,FALSE,1550.72197832422,FALSE,TRUE
94,531338.5791,4419964.11,,FALSE,1540.63058812221,FALSE,TRUE
95,531363.5791,4419964.11,,FALSE,1530.88097645042,FALSE,TRUE
96,531388.5791,4419964.11,,FALSE,1521.47971365306,FALSE,TRUE
97,531413.5791,4419964.11,,FALSE,1512.43329573829,FALSE,TRUE
98,531438.5791,4419964.11,,FALSE,1503.74812686759,FALSE,TRUE
99,531463.5791,4419964.11,,FALSE,1495.43050124631,FALSE,TRUE
100,531488.5791,4419964.11,,FALSE,1487.48658449674,FALSE,TRUE
101,531513.5791,4419964.11,,FALSE,1479.92239460648,FALSE,TRUE
102,531538.5791,4419964.11,,FALSE,1472.74378255614,FALSE,TRUE
103,531563.5791,4419964.11,,FALSE,1465.95641274145,FALSE,TRUE
104,531588.5791,4419964.11,,FALSE,1459.56574331469,FALSE,TRUE
105,531613.5791,4419964.11,,FALSE,1453.5770065799,FALSE,TRUE
106,531638.5791,4419964.11,,FALSE,1447.99518958378,FALSE,TRUE
107,531663.5791,4419964.11,,FALSE,1442.8250150513,FALSE,TRUE
108,531688.5791,4419964.11,,FALSE,1438.0709228191,FALSE,TRUE
109,531713.5791,4419964.11,,FALSE,1433.73705192332,FALSE,TRUE
110,531738.5791,4419964.11,,FALSE,1429.82722349862,FALSE,TRUE
111,531763.5791,4419964.11,,FALSE,1426.34492464402,FALSE,TRUE
112,531788.5791,4419964.11,,FALSE,1423.29329340715,FALSE,TRUE
113,531813.5791,4419964.11,,FALSE,1420.67510503203,FALSE,TRUE
